Episode,Time,StateHash,Action,Reward,OldQ,NewQ,Delta
8,3163.6,144,SweepArea,-0.33,-0.190,-0.220,-0.0304
8,3180.4,144,SweepArea,-0.32,-0.220,-0.237,-0.0165
8,3196.9,144,SweepArea,-0.26,-0.237,-0.232,0.0050
8,3213.4,144,SweepArea,-0.52,-0.232,-0.304,-0.0723
8,3228.6,144,HideSpotCheck,-0.64,-0.280,-0.373,-0.0932
8,3242.8,144,SweepArea,-0.29,-0.304,-0.286,0.0179
8,3259.3,144,SweepArea,-0.31,-0.286,-0.282,0.0044
8,3284.3,144,SweepArea,-0.35,-0.282,-0.296,-0.0141
8,3292.9,108,SweepArea,-0.34,-0.165,-0.198,-0.0329
8,3296.8,108,SweepArea,10.00,-0.198,2.861,3.0594
9,3297.2,108,SweepArea,1.11,2.861,2.356,-0.5056
9,3297.5,108,SweepArea,-0.53,2.356,1.510,-0.8454
9,3305.7,54,HideSpotCheck,0.17,0.031,0.092,0.0605
9,3314.5,144,SweepArea,-0.24,-0.296,-0.260,0.0362
9,3323.3,144,SweepArea,-0.24,-0.260,-0.234,0.0257
9,3332.3,144,SweepArea,-0.09,-0.234,-0.172,0.0623
9,3341.1,144,SweepArea,-0.34,-0.172,-0.203,-0.0309
9,3349.6,144,SweepArea,-0.28,-0.203,-0.208,-0.0051
9,3358.5,144,SweepArea,-0.54,-0.208,-0.288,-0.0805
9,3367.6,144,SweepArea,-1.09,-0.288,-0.510,-0.2218
9,3377.4,144,HideSpotCheck,0.30,-0.373,-0.152,0.2210
9,3387.6,144,HideSpotCheck,0.15,-0.152,-0.044,0.1075
9,3396.1,144,SweepArea,-0.24,-0.510,-0.409,0.1016
9,3406.7,144,HideSpotCheck,0.30,-0.044,0.075,0.1197
9,3416.9,144,HideSpotCheck,0.30,0.075,0.160,0.0843
9,3427.1,144,HideSpotCheck,0.15,0.160,0.184,0.0247
9,3437.0,144,HideSpotCheck,0.05,0.184,0.178,-0.0065
9,3447.0,144,HideSpotCheck,0.10,0.178,0.187,0.0089
9,3456.0,144,SweepArea,-0.24,-0.409,-0.323,0.0859
9,3465.5,144,HideSpotCheck,0.31,0.187,0.258,0.0712
9,3474.4,144,SweepArea,-0.24,-0.323,-0.249,0.0740
9,3484.2,144,HideSpotCheck,0.31,0.258,0.328,0.0698
9,3494.2,145,HideSpotCheck,0.15,0.302,0.310,0.0084
9,3504.2,145,HideSpotCheck,0.30,0.310,0.363,0.0530
9,3519.4,145,AmbushHotChoke,-0.36,-0.231,-0.260,-0.0288
9,3525.4,109,AmbushHotChoke,0.14,0.034,0.084,0.0502
9,3528.2,109,AmbushHotChoke,-0.18,0.084,0.028,-0.0568
9,3540.9,109,HideSpotCheck,0.12,0.077,0.103,0.0258
9,3556.1,109,HideSpotCheck,-0.63,0.103,-0.102,-0.2050
9,3570.3,109,SweepArea,-0.29,0.032,-0.013,-0.0445
9,3585.4,145,HideSpotCheck,-0.64,0.363,0.112,-0.2506
9,3600.4,145,HideSpotCheck,-0.65,0.112,-0.101,-0.2133
9,3611.0,145,HideSpotCheck,0.14,-0.101,-0.018,0.0825
9,3621.7,145,HideSpotCheck,0.04,-0.018,0.009,0.0275
9,3666.7,145,Patrol,-0.80,-0.320,-0.461,-0.1410
9,3670.7,145,HideSpotCheck,0.21,0.009,0.082,0.0728
9,3672.6,145,HideSpotCheck,0.23,0.082,0.149,0.0669
9,3674.7,145,HideSpotCheck,0.23,0.149,0.213,0.0644
9,3676.7,145,HideSpotCheck,0.13,0.213,0.246,0.0330
9,3678.6,145,HideSpotCheck,0.32,0.246,0.335,0.0893
