episodeId,seed,scenarioId,mode,startTime,endTime,duration,terminationReason,success,timeToCapture,totalReward,epsilonUsed,action0_count,action1_count,action2_count,action3_count,action4_count,action5_count,action6_count,action7_count,action0_time,action1_time,action2_time,action3_time,action4_time,action5_time,action6_time,action7_time,uniqueStatesVisited,firstContactTime,tdErrorMean,useLearning,useHeat
198,-529993827,default,TRAIN,61328.14,61386.5,58.35938,CAPTURE,0,-1,0,0.1117553,1,0,0,3,0,0,0,0,0,0,0,43.51563,0,0,0,0,0,-1,0.9515768,1,1
199,-529993827,default,TRAIN,61387.63,61449,61.37109,CAPTURE,0,-1,0,0.1111966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.4865596,1,1
200,-529993827,default,TRAIN,61450.15,62242.41,792.2656,QUEST_COMPLETE,0,-1,0,0.1106406,14,2,0,10,4,1,7,0,536.1523,20.23828,0,153.1758,23.80078,10.36719,36.50781,0,0,-1,0.5510024,1,1
201,-529993827,default,TRAIN,62243.43,63015.16,771.7344,CAPTURE,0,-1,0,0.1100874,8,0,0,15,10,4,21,0,277.0352,0,0,250.9258,52.74609,44.98047,100.2852,0,0,-1,0.5364702,1,1
202,-529993827,default,TRAIN,63016.18,63441.5,425.3164,QUEST_COMPLETE,0,-1,0,0.1095369,8,0,0,6,1,2,1,0,257.1797,0,0,84.23438,14.15625,31.01172,12.97656,0,0,-1,0.5075411,1,1
203,-529993827,default,TRAIN,63442.56,63854.7,412.1406,QUEST_COMPLETE,0,-1,0,0.1089893,8,0,0,7,0,0,0,0,278.5078,0,0,78.78516,0,0,0,0,0,-1,0.2670597,1,1
204,-529993827,default,TRAIN,63855.71,64283.51,427.8008,QUEST_COMPLETE,0,-1,0,0.1084443,8,0,0,6,10,0,0,0,306.6641,0,0,76.42188,21.89063,0,0,0,0,-1,0.5107632,1,1
205,-529993827,default,TRAIN,64284.63,64816.77,532.1328,QUEST_COMPLETE,0,-1,0,0.1079021,3,0,0,21,16,5,14,0,133.7109,0,0,168.5664,33.375,43.78516,104.7422,0,0,-1,0.5177307,1,1
206,-529993827,default,TRAIN,64817.91,64967.42,149.5117,CAPTURE,0,-1,0,0.1073626,2,0,0,5,2,0,1,0,30.73828,0,0,52.72266,19.69922,0,15.02734,0,0,-1,0.2725692,1,1
207,-529993827,default,TRAIN,64968.46,65970.9,1002.441,QUEST_COMPLETE,0,-1,0,0.1068258,8,1,0,38,10,13,8,0,303.043,5.339844,0,410.8008,4.652344,170.4141,91.60156,0,0,-1,0.2604911,1,1
